t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad
0.03013,-0.0,0.0,0.0,0.0,0.001535889741755
0.04036,-0.0,0.0,0.0,0.0,-0.0
0.05041,-0.0,0.0,0.0,0.0,-0.0
0.07,-0.0,0.0,0.0,0.0,-0.0
0.08005,-0.0,0.0,0.0,0.0,-0.0
0.09028,-0.0,0.0,0.0,0.0,-0.0
0.10033,-0.0,0.0,0.0,0.0,-0.0
0.13094,-0.0,0.0,0.0,0.0,-0.0
0.14999,-0.0,0.0,0.0,0.0,-0.001535889741755
0.31517,-0.0,0.0,0.0,0.0,-0.0
0.33392,-0.0,0.0,0.0,0.0,-0.001535889741755
0.34942,-0.0,0.0,0.0,0.0,-0.0
0.35965,-0.0,0.0,0.0,0.0,-0.0
0.3697,-0.0,0.0,0.0,0.0,-0.0
0.37993,-0.0,0.0,0.0,0.0,-0.0
0.38998,-0.0,0.0,0.0,0.0,-0.0
0.40957,-0.0,0.0,0.0,0.0,-0.001535889741755
0.41962,-0.0,0.0,0.0,0.0,-0.0
0.42985,-0.0,0.0,0.0,0.0,-0.0
0.44029,-0.0,0.0,0.0,0.0,-0.0
0.45983,-0.0,0.0,0.0,0.0,-0.0
0.47924,-0.0,0.0,0.0,0.0,-0.0
0.48947,-0.0,0.0,0.0,0.0,-0.0
0.49952,-0.0,0.0,0.0,0.0,-0.001535889741755
0.50975,-0.0,0.0,0.0,0.0,-0.0
0.52916,-0.0,0.0,0.0,0.0,-0.0
0.53939,-0.0,0.0,0.0,0.0,-0.0
0.54944,-0.0,0.0,0.0,0.0,-0.001535889741755
0.55967,-0.0,0.0,0.0,0.0,-0.0
0.57909,-0.0,0.0,0.0,0.0,-0.0
0.58932,-0.0,0.0,0.0,0.0,-0.0
0.59937,-0.0,0.0,0.0,0.0,-0.0
0.6096,-0.0,0.0,0.0,0.0,-0.0
0.62901,-0.0,0.0,0.0,0.0,-0.0
0.63924,-0.0,0.0,0.0,0.0,-0.0
0.64929,-0.0,0.0,0.0,0.0,-0.001535889741755
0.65952,-0.0,0.0,0.0,0.0,-0.0
0.67893,-0.0,0.0,0.0,0.0,-0.0
0.68916,-0.0,0.0,0.0,0.0,-0.0
0.70047,-0.0,0.0,0.0,0.0,-0.0
0.71923,-0.0,0.0,0.0,0.0,-0.0
0.72928,-0.0,0.0,0.0,0.0,-0.0
0.74887,-0.0,0.0,0.0,0.0,-0.0
0.75892,-0.0,0.0,0.0,0.0,-0.0
0.76915,-0.0,0.0,0.0,0.0,-0.0
0.7792,-0.0,0.0,0.0,0.0,-0.0
0.79879,-0.0,0.0,0.0,0.0,0.001535889741755
0.80884,-0.0,0.0,0.0,0.0,-0.0
0.81907,-0.0,0.0,0.0,0.0,-0.0
0.82912,-0.0,0.0,0.0,0.0,-0.001535889741755
0.84871,-0.0,0.0,0.0,0.0,-0.0
0.85876,-0.0,0.0,0.0,0.0,-0.0
0.86899,-0.0,0.0,0.0,0.0,-0.0
0.87904,-0.0,0.0,0.0,0.0,-0.0
0.89863,-0.0,0.0,0.0,0.0,-0.0
0.90868,-0.0,0.0,0.0,0.0,-0.001535889741755
0.91891,-0.0,0.0,0.0,0.0,-0.0
0.92896,-0.0,0.0,0.0,0.0,-0.0
0.94855,-0.0,0.0,0.0,0.0,-0.0
0.959,-0.0,0.0,0.0,0.0,-0.0
0.97888,-0.0,0.0,0.0,0.0,-0.0
0.98893,-0.0,0.0,0.0,0.0,-0.0
1.00852,-0.0,0.0,0.0,0.0,-0.0
1.01858,-0.0,0.0,0.0,0.0,-0.0
1.0288,-0.0,0.0,0.0,0.0,-0.0
1.03886,-0.0,0.0,0.0,0.0,-0.0
1.05844,-0.0,0.0,0.0,0.0,-0.001535889741755
1.0685,-0.0,0.0,0.0,0.0,-0.0
1.07872,-0.0,0.0,0.0,0.0,-0.0
1.09822,-0.0,0.0,0.0,0.0,-0.0
1.10828,-0.0,0.0,0.0,0.0,-0.0
1.1185,-0.0,0.0,0.0,0.0,-0.0
1.1386,-0.0,0.0,0.0,0.0,-0.0
1.14865,-0.0,0.0,0.0,0.0,-0.001535889741755
1.16824,-0.0,0.0,0.0,0.0,-0.0
1.17831,-0.0,0.0,0.0,0.0,-0.001535889741755
